HybID	NSFTVID	Flowering time at Arkansas	Flowering time at Faridpur	Flowering time at Aberdeen	FT ratio of Arkansas/Aberdeen	FT ratio of Faridpur/Aberdeen	Culm habit	Leaf pubescence	Flag leaf length	Flag leaf width	Awn presence	Panicle number per plant	Plant height	Panicle length	Primary panicle branch number	Seed number per panicle	Florets per panicle	Panicle fertility	Seed length	Seed width	Seed volume	Seed surface area	Brown rice seed length	Brown rice seed width	Brown rice surface area	Brown rice volume	Seed length/width ratio	Brown rice length/width ratio	Seed color 	Pericarp color	Straighthead suseptability 	Blast resistance	Amylose content	Alkali spreading value	Protein content	Year07Flowering time at Arkansas	Year06Flowering time at Arkansas
090105-A06	51	102.6	77	175	0.586285714	0.44	5.4	1	27.95	1.08	0	3.234749174	123.1428571	23.975	10.88888889	4.932673753	5.137267945	0.815	7.36546	3.49469	2.383464374	3.766726445	5.28696	3.0189	3.388513953	6.63207	2.108	1.751	0	0	5.833333334	8	18.78	6.958333334	8.6	98	109.5
090325-A12	53	91	78	100	0.91	0.78	4	1	31.92222222	0.866666667	0	3.314186005	152.5	30.8	8.875	4.766911035	4.919980926	0.858	9.8331	2.410925	1.971143846	3.71904689	7.406725	2.068233333	3.340223167	4.303016667	4.079	3.581	0	0	8.331666667	4	20.975	5.666666667	8.75	85.5	96.5
090325-B01	55	74.91666667	66	84	0.891865079	0.785714286	2	1	27.21111111	0.877777778	1	3.414990704	101.3333333	25.55555556	5.555555556	4.021375542	4.259545078	0.788	8.93616	3.29885	2.505024587	3.933527713	6.47656	2.70832	3.496923838	6.6787	2.709	2.391	0	0	6.085	6	17.21	6.916666667	11.9	71.5	78.33333333
090325-B02	56	74.125	66	76	0.975328947	0.868421053	3	1	21	1.15	NA	3.388618599	77	NA	NA	4.760952188	4.816819358	0.946	7.1648625	3.32005	2.242322749	3.678680749	5.101	2.8036125	3.267021496	5.42885	2.158	1.819	0	0	3.498333334	4	13.22333333	7	8.1	70.5	85
090226-A11	57	89.83333333	76	88	1.020833333	0.863636364	7	NA	23.325	1.158333333	0	4.037186148	137.1666667	24.35454545	8.5	4.748089195	4.888296442	0.869	7.331733333	3.080108333	2.123587007	3.636286631	5.27326	2.62217	3.249792152	5.01199	2.38	2.011	0	0	8.333333334	4	23.42333333	5.666666667	7.95	84	95.66666667
090226-A12	58	91.25	77	101	0.903465347	0.762376238	6	1	40.05833333	1.408333333	0	3.58120144	129.1666667	24.15555556	10.11111111	5.133180635	5.232296265	0.906	7.914516667	3.30515	2.341784973	3.781572576	5.703516667	2.788358333	3.376480533	6.059225	2.395	2.045	0	0	8.168333334	7	26.32	4.472222222	8.05	87	95.5
090414-B12	59	82.16666667	70	96	0.855902778	0.729166667	5	1	22.83333333	1.7	1	2.463853241	136.5555556	21.77777778	11.22222222	5.010635294	5.166688924	0.856	7.270466667	3.395341667	2.257299157	3.680275883	5.11332	2.89601	3.301881891	5.79952	2.141	1.766	0	0	6.835	7	18.245	4.041666667	9.1	78.5	85.83333333
090226-B01	60	82.33333333	68	88	0.935606061	0.772727273	4.5	1	34.475	1.45	1	2.983153491	128.9166667	27.12727273	10.33333333	5.110343502	5.43649703	0.722	7.839541667	3.308983333	2.332449674	3.768703676	5.66771	2.7678	3.363048547	5.91572	2.369	2.048	0	0	5.5	8	18.275	5.208333334	8.9	76	88.66666667
090226-B02	61	89.25	75	93	0.959677419	0.806451613	8	1	33.06666667	0.95	0	4.016383021	142.4166667	26.16363636	8.166666667	4.593281614	4.78673388	0.824	7.9208	3.033925	2.199149575	3.717259973	5.664466667	2.561925	3.299007759	5.173466667	2.611	2.211	0	0	7.498333334	4	25.355	5.75	7.55	84.5	94
090414-C01	63	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	8	1.12	7	8.25	NA	NA
090226-B03	65	100.75	80	114	0.88377193	0.701754386	3	1	41.18333333	1.625	0	2.995732274	129.5833333	25.09166667	10	4.886582645	5.059425458	0.841	9.707925	3.234433333	2.540705923	3.994364914	7.189635	2.7082375	3.586802292	7.2389875	3.001	2.655	0	0	7.333333334	4	23.46333333	5.083333334	8	106	95.5
090325-B03	66	NA	NA	190	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.67	1	23.80666667	7	NA	NA	NA
090226-B04	67	114.6666667	NA	222	0.516516517	NA	5	1	33.78333333	0.895833333	0	3.355735008	123.9166667	22.96363636	11.81818182	5.356193116	5.502278098	0.864	7.438633333	3.46265	2.368166039	3.763471758	5.389275	2.957733333	3.390376828	6.518958333	2.148	1.822	0	0	7.501666667	6	24.395	7	8.5	114	116
090325-B04	68	98.08333333	74	114	0.860380117	0.649122807	6.333333333	NA	25.61111111	1.111111111	0	3.676300672	87.44444444	23.21666667	10.83333333	4.870947423	5.151362954	0.755	7.540263636	2.930827273	2.098705923	3.646729637	5.497645455	2.443218182	3.223226348	4.579254545	2.573	2.25	0	0	8	7	21.19	5.333333334	8.05	89.5	106.6666667
090226-B05	69	93.25	76	85	1.097058824	0.894117647	2	0	32.35	1.258333333	0	2.913256052	113.5833333	24.4	12.09090909	5.129898715	5.305563775	0.839	9.304475	2.845291667	2.253351956	3.825891605	6.876	2.406416667	3.417813565	5.436	3.27	2.857	0	0	7.501666667	1	20.09	4.98	9.5	92	94.5
090226-B06	70	90.5	77	108	0.837962963	0.712962963	3	0	27.41666667	1.566666667	0	3.016351561	128	23.22727273	9.545454545	4.759061092	4.972964894	0.807	8.639475	3.177483333	2.370272557	3.843931335	6.341791667	2.729075	3.466135823	6.455491667	2.719	2.324	0	0	8.331666667	3	18.38	4.75	8.1	85.5	95.5
090226-B07	71	100.75	79	106	0.950471698	0.745283019	3	NA	36.88888889	1.011111111	0	3.80666249	99.16666667	28.05	10.66666667	4.906755164	5.272486607	0.694	7.996477778	2.844955556	2.091304234	3.653264654	5.824033333	2.421888889	3.255996043	4.750166667	2.811	2.405	0	0	7.165	1	23.97	7	NA	94.5	107
090226-B08	72	108.1666667	73	133	0.813283208	0.54887218	1.666666667	1	28.66666667	1.411111111	0	3.557726184	90.66666667	25.15	11.33333333	5.261538115	5.375278408	0.892	8.41835	2.878175	2.207271163	3.761910135	6.29885	2.444966667	3.367399273	5.315783333	2.925	2.576	0	0	8.5	1	23.13	7	8.5	104	112.3333333
090325-B08	73	91.41666667	78	106	0.862421384	0.735849057	3.5	1	35.35833333	1.441666667	0	2.983153491	102.9166667	23.40833333	11.66666667	4.793722293	5.010635294	0.805	9.897391667	3.152666667	2.525755311	3.999554372	7.325709091	2.622463636	3.567057677	6.836409091	3.139	2.793	0	0	7.498333334	1	14.22	2.083333334	8.7	89	93.83333333
090209-A05	74	99.33333333	78	85	1.168627451	0.917647059	4	NA	35.35	1.291666667	0	3.58120144	104.0833333	30.39166667	10.58333333	5.230662885	5.340338642	0.896	9.523025	2.401016667	1.956320063	3.695144372	6.941508333	2.043341667	3.279833254	4.04885	3.966	3.397	0	0	8.331666667	3	24.77	7	8.1	93	105.6666667
